"transactions","total","future_candidate","avg_contribution"
2,"$11.00","PA 13","$5.50"
2,"$11.00","KY 01","$5.50"
3,"$11.00","FL 11","$3.67"
2,"$11.00","KS 04","$5.50"
2,"$11.00","TX 05","$5.50"
2,"$11.00","IL 18","$5.50"
2,"$11.00","OH 05","$5.50"
2,"$10.00","OH","$5.00"
1,"$10.00","OH 07","$10.00"
1,"$10.00","TX 13","$10.00"
4,"$9.00","CA 04","$2.25"
2,"$6.00","VA 09","$3.00"
2,"$6.00","AR 02","$3.00"
2,"$4.00","FL 16","$2.00"
3,"$3.00","MO 08","$1.00"
3,"$3.00","OK 03","$1.00"
3,"$3.00","MI 10","$1.00"
3,"$3.00","PA 15","$1.00"
2,"$2.00","GA 11","$1.00"
2,"$2.00","SC 07","$1.00"
2,"$2.00","TN 03","$1.00"
1,"$2.00","NE 01","$2.00"
2,"$2.00","TX 27","$1.00"
2,"$2.00","MS 01","$1.00"
2,"$2.00","PA 09","$1.00"
2,"$2.00","OH 08","$1.00"
2,"$2.00","WY AL","$1.00"
2,"$2.00","TN 04","$1.00"
2,"$2.00","IN 09","$1.00"
2,"$2.00","FL 08","$1.00"
2,"$2.00","OK 04","$1.00"
2,"$2.00","TN 08","$1.00"
1,"$1.00","MO 03","$1.00"
1,"$1.00","SC 02","$1.00"
1,"$1.00","NE 03","$1.00"
1,"$1.00","MI 02","$1.00"
1,"$1.00","AL 04","$1.00"
1,"$1.00","LA 03","$1.00"
1,"$1.00","MO 07","$1.00"
1,"$1.00","FL 02","$1.00"
1,"$1.00","AR 04","$1.00"
1,"$1.00","TN 01","$1.00"
1,"$1.00","IN 08","$1.00"
1,"$1.00","ND AL","$1.00"
1,"$1.00","AR 03","$1.00"
1,"$1.00","SD AL","$1.00"
1,"$1.00","LA 06","$1.00"
1,"$1.00","IN 03","$1.00"
1,"$1.00","FL 17","$1.00"
1,"$1.00","CO 05","$1.00"
1,"$1.00","IL 15","$1.00"
1,"$1.00","AL 03","$1.00"
1,"$1.00","WA 04","$1.00"
1,"$1.00","NC 10","$1.00"
1,"$1.00","KY 04","$1.00"
1,"$1.00","UT 01","$1.00"
1,"$1.00","SC 04","$1.00"
1,"$1.00","MS 03","$1.00"
